from	to	combined_score	label
Gene_1080	Gene_1856	951	True
Gene_64132	Gene_11285	977	True
Gene_64132	Gene_1634	924	True
Gene_11285	Gene_1634	940	True
Gene_1080	Gene_9341	911	True
Gene_1856	Gene_9341	902	True
Gene_2067	Gene_5982	931	True
Gene_6515	Gene_634	903	True
Gene_2896	Gene_7132	777	True
Gene_5954	Gene_10272	902	True
Gene_3861	Gene_54474	903	True
Gene_5954	Gene_6694	900	True
Gene_10272	Gene_6694	900	True
Gene_6515	Gene_6793	904	True
Gene_634	Gene_6793	900	True
Gene_6694	Gene_1361	760	True
Gene_1080	Gene_27248	912	True
Gene_51564	Gene_23409	726	True
Gene_64132	Gene_368	803	True
Gene_6515	Gene_54918	900	True
Gene_634	Gene_54918	900	True
Gene_6793	Gene_54918	902	True
Gene_6694	Gene_350	915	True
Gene_5318	Gene_7051	908	True
Gene_3861	Gene_25984	909	True
Gene_54474	Gene_25984	906	True
Gene_5982	Gene_990	972	True
Gene_5898	Gene_5603	919	True
Gene_7145	Gene_7414	957	True
Gene_7205	Gene_7414	790	True
Gene_51564	Gene_23411	780	True
Gene_2249	Gene_27006	909	True
Gene_5898	Gene_6300	919	True
Gene_5603	Gene_6300	948	True
Gene_5954	Gene_3053	900	True
Gene_10272	Gene_3053	900	True
Gene_6694	Gene_3053	916	True
Gene_1361	Gene_3053	775	True
Gene_350	Gene_3053	761	True
Gene_9341	Gene_9342	970	True
Gene_54918	Gene_9342	902	True
Gene_2288	Gene_5594	918	True
Gene_2896	Gene_5594	919	True
Gene_7132	Gene_5594	751	True
Gene_602	Gene_5594	706	True
Gene_2249	Gene_5594	946	True
Gene_5603	Gene_5594	814	True
Gene_7414	Gene_5594	950	True
Gene_27006	Gene_5594	923	True
Gene_6300	Gene_5594	836	True
Gene_5954	Gene_3956	904	True
Gene_10272	Gene_3956	911	True
Gene_6694	Gene_3956	908	True
Gene_3053	Gene_3956	900	True
Gene_9319	Gene_79019	770	True
Gene_9817	Gene_3162	917	True
Gene_5594	Gene_3162	779	True
Gene_5898	Gene_4627	953	True
Gene_30009	Gene_3560	862	True
Gene_5594	Gene_3560	905	True
Gene_2896	Gene_1511	932	True
Gene_5594	Gene_1511	917	True
Gene_30009	Gene_3002	877	True
Gene_3560	Gene_3002	817	True
Gene_1080	Gene_5684	942	True
Gene_1856	Gene_5684	900	True
Gene_990	Gene_5684	903	True
Gene_6376	Gene_623	904	True
Gene_9319	Gene_7443	779	True
Gene_623	Gene_7443	750	True
Gene_2067	Gene_328	806	True
Gene_5982	Gene_328	932	True
Gene_23411	Gene_328	781	True
Gene_84844	Gene_8106	936	True
Gene_7132	Gene_4792	955	True
Gene_602	Gene_4792	818	True
Gene_4804	Gene_4792	906	True
Gene_5594	Gene_4792	961	True
Gene_5684	Gene_4792	911	True
Gene_5898	Gene_6790	756	True
Gene_9319	Gene_6790	880	True
Gene_990	Gene_6790	873	True
Gene_79019	Gene_6790	795	True
Gene_5684	Gene_6790	904	True
Gene_4792	Gene_6790	945	True
Gene_2896	Gene_5834	902	True
